timestamp_unix,timestamp_formatted,measurement_name,measurement_value
1675814401.299,08-Feb-2023 00:00:00,APS_A1_HV_Energy,0.0
1675814401.433,08-Feb-2023 00:00:00,APS_A2_HV_Energy,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_WORKSHOP,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_SHUTDOWN,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_TOWING,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_COUPLING,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_WASHING,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_ON_TRANSPORT,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_CLEAN,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_DOZE,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_READY,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_STANDBY,0.0
1675814401.472,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_OPERATE,1.0
1675814401.534,08-Feb-2023 00:00:00,PLC_NUM_UTS,2.0
1675814401.535,08-Feb-2023 00:00:00,BCU_A2_STS_IsMaster,0.0
1675814401.535,08-Feb-2023 00:00:00,BCU_A1_STS_IsMaster,0.0
1675814401.553,08-Feb-2023 00:00:00,APS_A1_DC_OUT_P,2.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_DC_OUT_P,2.3000000000000003
1675814401.553,08-Feb-2023 00:00:00,APS_A1_DC_OUT_C,16.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_DC_OUT_C,19.0
1675814401.553,08-Feb-2023 00:00:00,APS_A1_DC_OUT_V,126.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_DC_OUT_V,126.0
1675814401.553,08-Feb-2023 00:00:00,APS_A1_AC_OUT_P,18.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_AC_OUT_P,18.0
1675814401.553,08-Feb-2023 00:00:00,APS_A1_AC_OUT_C,29.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_AC_OUT_C,30.0
1675814401.553,08-Feb-2023 00:00:00,APS_A1_AC_OUT_V,230.0
1675814401.553,08-Feb-2023 00:00:00,APS_A2_AC_OUT_V,229.0
1675814404.348,08-Feb-2023 00:00:00,PLC_NUM_UTS,2.0
1675814404.349,08-Feb-2023 00:00:00,BCU_A2_STS_IsMaster,0.0
1675814404.349,08-Feb-2023 00:00:00,BCU_A1_STS_IsMaster,0.0
1675814404.367,08-Feb-2023 00:00:00,APS_A1_HV_Energy,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_WORKSHOP,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_SHUTDOWN,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_TOWING,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_COUPLING,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_WASHING,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_ON_TRANSPORT,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_CLEAN,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_DOZE,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_READY,0.0
1675814404.41,08-Feb-2023 00:00:00,PLC_APS_TRAIN_MODES_STANDBY,0.0
